Symbol GSE Entrez PFOCR
48 RUVBL2 GSE105253 10856 PMC2749258__nihms139354f3.jpg;PMC2761008__JBB2009-648987.002.jpg;PMC2811176__pone.0008887.g002.jpg;PMC3261822__1476-4598-10-132-3.jpg;PMC3494151__zjw0101242620004.jpg;PMC3887879__molcell-35-6-463-1f3.jpg;PMC4031539__zbc0241484820005.jpg;PMC4192477__zbc0461498540002.jpg;PMC4454399__cas0105-1384-f2.jpg;PMC4697333__12859_2015_841_Fig5_HTML.jpg;PMC4715579__nihms-746092-f0006.jpg;PMC5423198__MOL2-10-1344-g005.jpg;PMC5600417__gr1.jpg;PMC5779689__pone.0191607.g002.jpg;PMC6541264__pone.0216948.g002.jpg;PMC6679375__dmm-12-037192-g3.jpg;PMC6727741__mbc-30-1834-g008.jpg
49 SENCR GSE122490 100507392 NA
50 SET GSE83635 6418 PMC2647614__PROCATS4144fig2.jpg;PMC2697172__1471-2164-10-220-8.jpg;PMC2699904__nihms106557f7.jpg;PMC2872883__gb-2010-11-2-r23-2.jpg;PMC2997002__1471-2164-11-506-3.jpg;PMC3236061__1471-2105-12-249-5.jpg;PMC3366885__1741-7015-10-43-1.jpg;PMC3423373__pone.0037046.g003.jpg;PMC3682694__cmo-7-2013-103f1.jpg;PMC3697769__nihms477473f2.jpg;PMC3794382__fphys-04-00278-g0001.jpg;PMC3926678__1742-2094-11-22-5.jpg;PMC3991635__pone.0094349.g004.jpg;PMC4143405__epi-9-1031-g5.jpg;PMC4166715__zh70171439730004.jpg;PMC4214635__pgen.1004772.g002.jpg;PMC4278533__ijc0136-0656-f4.jpg;PMC4281293__nihms625023f2.jpg;PMC4386406__pnas.1503286112fig02.jpg;PMC4411413__fx2.jpg;PMC4605373__JIR2015-162639.004.jpg;PMC4611218__WJG-13-3847-g002.jpg;PMC4736761__SCI2016-1894782.004.jpg;PMC4784386__12920_2016_173_Fig4_HTML.jpg;PMC4797117__12859_2016_981_Fig2_HTML.jpg;PMC4865041__pone.0155530.g007.jpg;PMC4955784__nihms-796192-f0001.jpg;PMC5485424__thnov07p2092g009.jpg;PMC5522997__BPH-174-2716-g009.jpg;PMC5570234__gkx278fig2.jpg;PMC5595906__41598_2017_11840_Fig4_HTML.jpg;PMC5783486__MMR-17-02-2402-g03.jpg;PMC5856858__10495_2018_1451_Fig1_HTML.jpg;PMC5901847__SCI2018-4835491.001.jpg;PMC6044387__oncotarget-09-29123-g005.jpg;PMC6112260__BMRI2018-2617432.009.jpg;PMC6637639__12864_2019_5836_Fig2_HTML.jpg;PMC6650088__pcbi.1007088.g002.jpg;PMC6787567__JCMM-23-6530-g003.jpg
51 SHARPIN GSE77261 81858 PMC3654194__emss-52051-f0001.jpg;PMC3787928__ott-6-1285Fig2.jpg;PMC3832246__1478-811X-11-84-1.jpg;PMC4084718__nihms585504f4.jpg;PMC4452916__viruses-07-02485-g003.jpg;PMC5007556__EMBJ-35-1848-g001.jpg;PMC5397262__kccy-16-07-1288326-g002.jpg;PMC5490640__ibmg_a_1325829_f0006_c.jpg;PMC5712330__12308_2017_302_Fig3_HTML.jpg;PMC5811474__fcell-06-00011-g0005.jpg;PMC6027159__biomedicines-06-00043-g007.jpg;PMC6027159__biomedicines-06-00043-g010.jpg;PMC6298254__sdata2018289-f1.jpg;PMC6298254__sdata2018289-f3.jpg
52 SIRT7 GSE99596 51547 PMC2651433__nihms-96557-f0004.jpg;PMC5469033__nihms863705f1.jpg;PMC5559174__aging-09-1770-g004.jpg;PMC5824497__fig-2.jpg;PMC5842119__nihms919895f1.jpg;PMC5877513__ijms-19-00652-g003.jpg;PMC5882022__10.1177_1535370218759636-fig1.jpg;PMC6541264__pone.0216948.g002.jpg;PMC6709869__nihms964465f2.jpg
53 SNHG12 GSE138219 85028 NA
54 SOCS3 GSE122486 9021 PMC1594921__zii0100662210006.jpg;PMC1751079__cc5055-1.jpg;PMC1779520__gb-2006-7-5-r42-3.jpg;PMC2383880__1752-0509-2-36-7.jpg;PMC2533023__1471-2164-9-376-5.jpg;PMC2561291__pone.0003430.g001.jpg;PMC2634657__nihms56862f2.jpg;PMC2676892__nihms-108934-f0003.jpg;PMC2701885__JCI39133.f2.jpg;PMC2719801__pone.0006575.g002.jpg;PMC2790753__jnn0001-0240-f01.jpg;PMC2825767__zh70031034270001.jpg;PMC2836122__nihms133472f2.jpg;PMC2864813__09_166_hegdef4a.jpg;PMC2869029__ukmss-4926-f0001.jpg;PMC2874810__1471-2164-11-253-3.jpg;PMC2887830__1747-1028-5-14-2.jpg;PMC2889938__1471-2105-11-308-2.jpg;PMC2892459__1752-0509-4-63-5.jpg;PMC2906263__zbc0311023850003.jpg;PMC2908768__cshperspect-MAM-003186_F4.jpg;PMC2912833__1471-2172-11-39-4.jpg;PMC2967585__nihms216926f9.jpg;PMC3039688__pntd.0000954.g007.jpg;PMC3060320__ejhg2010197f2.jpg;PMC3117391__btr202f3.jpg;PMC3236216__pone.0028768.g008.jpg;PMC3240715__nihms332356f3.jpg;PMC3269658__nihms348428f5.jpg;PMC3291562__pone.0032391.g004.jpg;PMC3294426__zmr999092290003a.jpg;PMC3314616__pone.0034236.g002.jpg;PMC3421022__12079_2012_168_Fig1_HTML.jpg;PMC3423373__pone.0037046.g003.jpg;PMC3464734__1742-2094-9-140-2.jpg;PMC3524319__1752-0509-6-S3-S6-6.jpg;PMC3543749__11357_2011_9340_Fig1_HTML.jpg;PMC3572136__pone.0056024.g008.jpg;PMC3582273__btt019f1p.jpg;PMC3592971__nihms-392341-f0008.jpg;PMC3630242__nihms437502f1.jpg;PMC3660694__12079_2012_186_Fig1_HTML.jpg;PMC3670238__jkst-1-151-g1.jpg;PMC3701867__fimmu-04-00142-g001.jpg;PMC3732459__nihms399195f3.jpg;PMC3742913__zh70151338600005.jpg;PMC3766771__nihms483006f1.jpg;PMC3783562__nihms-496419-f0003.jpg;PMC3784533__JCI67714.f1.jpg;PMC3798933__nutrients-05-03757-g002.jpg;PMC3819657__1752-0509-7-104-3.jpg;PMC3849943__1755-8794-6-36-2.jpg;PMC3861642__zbc0021470320009.jpg;PMC3873541__zbc0041471100007.jpg;PMC3874238__nihms538602f2.jpg;PMC3931400__819fig3.jpg;PMC3976587__fig-2.jpg;PMC3976829__BMRI2014-724274.004.jpg;PMC4051765__pone.0099772.g001.jpg;PMC4208677__nihms93020f4.jpg;PMC4222698__pgpm-7-339Fig1.jpg;PMC4263464__cin-suppl.4-2014-073f1.jpg;PMC4281710__rsob-4-140178-g2.jpg;PMC4350260__nihms666346f1.jpg;PMC4394589__12864_2015_1475_Fig5_HTML.jpg;PMC4394589__12864_2015_1475_Fig6_HTML.jpg;PMC4408933__nihms589876f3.jpg;PMC4447103__nihms688456f1.jpg;PMC4546937__nihms709321f3.jpg;PMC4628569__nihms-713410-f0003.jpg;PMC4681601__nihms733909f1.jpg;PMC4683444__srep18494-f5.jpg;PMC4712384__cmi2014127f4.jpg;PMC4734217__br-04-02-0140-g00.jpg;PMC4751379__zbc0091637660008.jpg;PMC4810089__cells-05-00004-g002.jpg;PMC4841025__ists_a_1151491_f0005_c.jpg;PMC4841025__ists_a_1151491_f0007_c.jpg;PMC4873813__srep26375-f2.jpg;PMC4957230__srep30311-f4.jpg;PMC5040721__fphys-07-00439-g0004.jpg;PMC5098220__srep36453-f3.jpg;PMC5134922__nihms828526f4.jpg;PMC5182153__nihms827081f1.jpg;PMC5292006__13148_2017_314_Fig4_HTML.jpg;PMC5332411__fimmu-08-00209-g003.jpg;PMC5339410__gr6.jpg;PMC5364922__MMR-15-04-2143-g07.jpg;PMC5405508__12879_2017_2355_Fig8_HTML.jpg;PMC5497827__f1000research-6-12082-g0000.jpg;PMC5527809__MOL2-2-272-g002.jpg;PMC5549772__ppat.1006532.g002.jpg;PMC5676684__41598_2017_13250_Fig6_HTML.jpg;PMC5709591__zjv0241731720005.jpg;PMC5755497__cells-06-00038-g012.jpg;PMC5764090__nihms932384f2.jpg;PMC5801739__nihms830918f2.jpg;PMC5807065__nihms937423f4.jpg;PMC5839385__oncotarget-09-9572-g004.jpg;PMC5858971__nihms943612f2.jpg;PMC5900789__fimmu-09-00682-g001.jpg;PMC5962649__fimmu-09-01037-g004.jpg;PMC6099164__IMM-155-24-g002.jpg;PMC6116402__BMRI2018-5717913.002.jpg;PMC6150497__pone.0204100.g003.jpg;PMC6180304__EMMM-10-e8259-g002.jpg;PMC6219086__12859_2018_2426_Fig6_HTML.jpg;PMC6296478__nihms962335f1.jpg;PMC6405523__fgene-10-00023-g004.jpg;PMC6471380__ijms-20-01317-g001.jpg;PMC6478618__WJG-25-1783-g002.jpg;PMC6506535__41598_2019_43578_Fig4_HTML.jpg;PMC6515458__ijms-20-01962-g003.jpg;PMC6515458__ijms-20-01962-sch001.jpg;PMC6518697__40478_2019_727_Fig6_HTML.jpg;PMC6537414__12967_2019_1927_Fig6_HTML.jpg;PMC6701981__EMS84021-f001.jpg;PMC6710350__fimmu-10-01975-g0004.jpg;PMC6718713__fnsys-13-00037-g001.jpg;PMC6862548__ijms-20-05364-g001.jpg
55 SRA1 GSE52385 10011 PMC3439136__nihms-404380-f0002.jpg;PMC5660607__nihms907859f7.jpg;PMC6113163__gr4.jpg;PMC6491837__fcell-07-00069-g002.jpg
56 TRIM24 GSE77140 8805 PMC3251560__pone.0028979.g007.jpg;PMC3612515__ajtr0005-0200-f1.jpg;PMC3612515__ajtr0005-0200-f2.jpg;PMC3937154__1471-2164-15-91-5.jpg;PMC4697333__12859_2015_841_Fig6_HTML.jpg;PMC4985183__nihms-802379-f0004.jpg;PMC5405508__12879_2017_2355_Fig6_HTML.jpg;PMC5522276__oncotarget-08-40896-g002.jpg;PMC5620554__vaccines-05-00023-g002.jpg;PMC5812366__nihms934575f1.jpg
57 TWIST1 GSE106159 7291 PMC2887830__1747-1028-5-14-2.jpg;PMC3005023__nihms238945f1.jpg;PMC3218933__bcr2876-3.jpg;PMC3615902__nihms447533f3.jpg;PMC3739939__wsbm0005-0511-f4.jpg;PMC3959765__ERC130548f03.jpg;PMC4132214__1479-5876-12-59-1.jpg;PMC4320988__nihms-619464-f0001.jpg;PMC4779708__nihms754088f1.jpg;PMC4790586__bic-8-2016-025f1.jpg;PMC4834358__fonc-06-00085-g001.jpg;PMC4842059__JDR2016-6785948.003.jpg;PMC4851164__nihms626164f3.jpg;PMC4920139__nihms789997f1.jpg;PMC5120243__WJSC-8-384-g005.jpg;PMC5144105__gr2.jpg;PMC5501852__41598_2017_5280_Fig6_HTML.jpg;PMC5511947__kjim-2016-302f1.jpg;PMC5528934__MOL2-10-085-g002.jpg;PMC5578163__ijms-18-01774-g001.jpg;PMC5662193__nihms912225f6.jpg;PMC5819928__IJMM-41-03-1187-g00.jpg;PMC6115613__fnmol-11-00244-g003.jpg;PMC6115613__fnmol-11-00244-g005.jpg;PMC6122069__ijms-19-02411-g001.jpg;PMC6198989__pgen.1007681.g006.jpg;PMC6274739__ijms-19-03672-g002.jpg;PMC6364748__nihms-975841-f0002.jpg
58 UBC9 GSE117143 NA NA
59 ZFR GSE99231 51663 PMC4110660__536f2.jpg
60 ZNF217 GSE58326 7764 PMC4739739__nihms668051f3.jpg;PMC4880142__kfw057f6p.jpg;PMC5344005__ijms-18-00473-g001.jpg;PMC5561723__nihms895901f2.jpg;PMC6326181__nihms-1511991-f0008.jpg
61 ZNF423 GSE59598 23090 PMC3894150__grsb-8-2014-017f1.jpg;PMC4780413__nihms670090f6.jpg;PMC4821826__onc2015364f4.jpg;PMC5379509__srep08034-f8.jpg
