GSE	description	keyword
GSE111231	Perivascular signals alter global genomic profile of glioblastoma and response to temozolomide in a gelatin hydrogel	Cancer/pathway
GSE112586	RNA transcriptome sequencing analysis of SGC-7901 cells transfected with ENST00000431060 shRNA or control shRNA	NA
GSE114789	UPA-Seq: Prediction of functional lncRNAs using the sensitivities to UV-crosslinking	NA
GSE118165	RNA-seq data	NA
GSE120306	RNA-Seq of LRRK2 G2019S Parkinson’s iPSC-derived astrocytes	Parkinson
GSE120337	Genomic expression analysis of K562 cells expressing shRNA targeting lncRNA-IIRX and control cells	NA
GSE121137	Ascorbate Suppresses VEGF Expression in Retinal Pigment Epithelial Cells	NA
GSE121241	Long non-coding RNAs are central regulators of the IL-1b-induced inflammatory response in human lung fibroblasts	Idiopathic pulmonary fibrosis/knockdown
GSE102335	Microglia innatly develop within cerebral organoids	NA
GSE108995	Profiling of escape kinetics of viruses subjected to RNAi	NA
GSE110451	Profiling in vivo Bone Lesion (IVBL) and Orthotopic tumors by Next Generation Sequencing	NA
GSE117562	STVI-120 Induction of differentiation in human epidermal stem cells followed by differential splicing analysis	NA
GSE119827	RNA-seq analysis of control and NRDE2-depleted breast cancer cells	Breast cancer/Cancer
GSE119954	The Genetic Landscape of Diamond-Blackfan Anemia	variant
GSE121155	Effect of Influenza virus infection on lncRNA expression in A549 cells	NA
GSE110193	RNA-seq analysis of BAP1-depleted uveal melanoma cells	Melanoma
GSE111177	Identification of Transcription Factor Relationships Associated with Androgen Deprivation Therapy Response and Metastatic Progression in Prostate Cancer	Cancer/Prostate cancer
GSE111405	Longitudinal Personal DNA Methylome Dynamics in a Human with a Chronic Condition	NA
GSE118490	Transcriptomic analysis of trametinib-resistant HCT116 colorectal carcinoma cells compared to the parental control cells	NA
GSE119513	Comparison of Transcriptomes between A549 and H23 Cells	Cancer/Lung cancer
GSE121534	Differentiation enhances Zika virus infection in neuronal brain cells	NA
GSE64341	Effect of PDZ domain binding Kinase inhibition using TOPK-32 (called PBKi) on C4-2 cell transcriptome	Cancer/Prostate cancer
GSE88888	A monocyte gene expression signature in the early clinical course of Parkinson’s disease	Parkinson’s disease/Parkinson
GSE114383	Expression analysis of PC3 cells treated with scramble AON or AON directed against MBNL1	NA
GSE117444	Differential gene expression analysis between proliferating and quiescent human dermal fibroblasts	NA
GSE120364	Next Generation Sequencing Facilitates Quantitative Analysis of Gene expression profile in CD8+ T cells with TOX-overexpression	pathway
GSE121093	Vitamin C Promotes Apoptosis in Breast Cancer Cells by Increasing TRAIL Expression	Breast cancer/Cancer
GSE121095	Epigenetic reprogramming of melanoma cells by vitamin C treatment	Melanoma
GSE117143	UBC9 knockdown  in bladder cancer T24 cell lines	Cancer/knockdown
GSE117189	Fisetin induces autophagy in pancreatic cancer cells via endoplasmic reticulum stress- and mitochondrial stress-dependent pathways	Cancer/Pancreatic cancer/pathway
GSE120663	Transcriptome Analysis of PBMCs in peripheral blood of patients with hepatocellular carcinoma	NA
GSE125300	TOP2B disturbed the quality of human oocytes with advanced maternal age	knockdown/pathway
GSE125421	A comprehensive gene expression  analysis identifies novel  immune signatures in cesarean-born infants	pathway
GSE103035	Functional role of CPPED1 in trophoblasts.	siRNA
GSE115137	The transcriptome of human endometrial mesenchymal stem cells under TGFβR inhibition reveals improved potential for cell-based therapies	pathway
GSE121951	polyA RNA Sequencing Analysis of HTR-8/SVneo cells after lnc-SLC4A1-1 overexpression	NA
GSE125577	Global Gene Expression Changes in Cholangiocytes Treated with TGF-beta	NA
GSE106617	Genome wide expression change by RNF168 knocking down in MCF-7 cells	Breast cancer/Cancer/siRNA
GSE108632	Paclitaxel plus Cirmtuzumab Achieves Greater Clearance of Patient-derived Xenografts By Targeting ROR1+ Breast Cancer Stem Cells	Breast cancer/Cancer
GSE110512	Gene expression analysis of dengue-infected cells	NA
GSE115364	IDH3a KO RNA-seq	NA
GSE118532	Genome wide expression change by RNF168 knocking down in NEC cells	Breast cancer/Cancer/siRNA
GSE118774	Genome wide expression change in LCC2 and MCF-7 cells	Breast cancer/Cancer
GSE119331	Molecular Pathology of adverse local tissue reaction caused by metal-on-metal implants	NA
GSE120201	Widespread backtracking by RNA pol II is a major effector of gene activation, 5’ pause release, termination and transcription elongation rate	NA
GSE121757	Assessing the effect of SUPT4H1 RNAi on the transcription of a repeat-containing reporter construct	Amyotrophic lateral sclerosis/Huntington’s disease/Huntington
GSE121995	H1609088 Human RNA-Sequencing	pathway
GSE122069	Premature polyadenylation-mediated loss of stathmin-2 is a hallmark of TDP-43-dependent neurodegeneration	Amyotrophic lateral sclerosis
GSE122761	Acetylation of spliceosome protein PHF5A modulates stress responses and colorectal carcinogenesis through alternative splicing mediated upregulation of KDM3A	Cancer/pathway
GSE123968	Comprehensive Transcriptome Analysis of Cerebral Cavernous Malformation Across Multiple Species and Genotypes	NA
GSE124519	lncRNA-PCAT1 knockdown effect on the gene expression of androgen independent LNCaP (LNCaP-AI) cell line	knockdown
GSE125222	Novel mutations segregating with Complete Androgen Insensitivity Syndrome and their molecular characteristics.	NA
GSE126504	Next Generation Sequencing Facilitates Quantitative Analysis of SW480 cells and HPSE-knockdown SW480 cells Transcriptomes	knockdown
GSE128392	CD8+ T cells regulate tumor ferroptosis during cancer immunotherapy	Cancer
GSE78178	Effect of BB608 on Gene Expression in HNSCC Cell Line	NA
GSE104425	Arrayed molecular barcoding identifies TNFSF13 as a positive regulator of acute myeloid leukemia-initiating cells	Acute Myeloid Leukemia
GSE105253	Expression analysis of THP1 cells following shRNA knock-down of RUVBL2	knock-down
GSE109120	Sex Differences in the Late First Trimester Human Placenta Transcriptome	NA
GSE110525	The long non-coding RNA MALAT1 contributes to the pathogenesis of multiple sclerosis through alternative splicing and backsplicing regulation	knockdown
GSE113861	Nascent RNA Sequencing after NMYC activation in SH-EP MYCNER cells	NA
GSE115849	RNA seq comparison between scrambled and shGRP78 cells	Cancer/Pancreatic cancer/knockdown
GSE116241	Identification of atheroprone shear stress responsive regulatory elements in endothelial cells	NA
GSE118101	Next Generation Sequencing upon siRNA-mediated knockdown of DRAIC in MCF-7 cells.	siRNA/knockdown
GSE121307	mRNA sequencing analysis of cultured human primary airway epithelial cells upon exposure to PMN exosomes	NA
GSE121871	Multidimensional Assessment of the Host Response in Mechanically Ventilated Patients with Suspected Pneumonia	NA
GSE122486	RNA-sequencing WT vs SOCS3 knockout Glioblastoma stem-cells	knockout
GSE124450	Integrative analysis identifies lincRNAs up- and downstream of neuroblastoma driver genes (ALK)	Cancer/pathway
GSE124508	MDM2 and MDM4 are Therapeutic Vulnerabilities in Malignant Rhabdoid Tumors	Cancer/pathway
GSE125602	RNA-sequencing of fibrolamellar carcinoma (FLC) cell line treated with miR-375 mimic	Cancer
GSE125686	Transcriptomic profiling of peripheral blood NK cells of chronic HBV, HCV and HIV patients	NA
GSE125829	Newly defined ABCB5+ dermal mesenchymal stem cells promote healing of chronic iron overload wounds via secretion of interleukin-1 receptor antagonist	NA
GSE126530	Next Generation Sequencing of isolated EGFR+ and HLA-G+ first trimester human trophoblasts	NA
GSE126537	Rorc disruption in human FG pancreatic cancer cells	Cancer/Pancreatic cancer
GSE128740	Alterations of the MEK/ERK, BMP, and Wnt/b-catenin pathways detected in the blood of individuals with lymphatic malformations	pathway
GSE111881	Transcriptome analysis of total RNA in human osteosarcoma cell line U2OS before and after inhibition of zinc finger protein ZNF768	NA
GSE84620	Transcriptomic changes mediated by β-amyloid in human aortic endothelial cells (HAOEC)	NA
GSE105771	Transcriptional profile of human STAT1-/- fibroblasts expressing IFI6 or empty control vector	NA
GSE107868	RNA-sequencing and swarm intelligence-enhanced classification algorithm development for blood-based disease diagnostics using spliced blood platelet RNA	Glioma
GSE110278	Induction of human regulatory innate lymphoid cells from group 2 innate lymphoid cells by retinoic acid	NA
GSE111958	Transcriptional profile of human STAT1-/- fibroblasts expressing LY6E or empty control vector	NA
GSE114708	Transcriptomic analysis of acute mitochondrial pyruvate carrier inhibition using UK5099 in ABL prostate cancer cells	Cancer/Prostate cancer
GSE115850	RNA deep sequencing analysis of human brain microvascular endothelial cells (ECs) treated with glioma-conditioned medium (glioma-CM)	Glioma
GSE116943	RNA expression in BRCA2-depleted breast cancer cell lines	Breast cancer/Cancer
GSE117875	Transcriptomic profile of intestinal epithelial cells obtained from ileal endoscopic biopsies from newly-diagnosed, pediatric Crohn's disease patients and healthy controls.	Crohn's disease
GSE117910	Examining serotonergic neuron differentiation from human iPSCs	NA
GSE118567	Acetyl-CoA carboxylase inhibition regulates microtubule dynamics and intracellular transport in cystic fibrosis epithelial cells	NA
GSE120378	STX4 Over-Expression in Human islets	NA
GSE121069	RNAseq of fluidically isolated human and mouse motor neuron somas and axons in vitro	Amyotrophic lateral sclerosis
GSE122490	RNA-seq of HUVEC ± shRNA knockdown of SENCR	knockdown
GSE123681	Thymine DNA Glycosylase as a novel target for melanoma: effect of TDG silencing on gene expression in SK-mel-28 melanoma cells	Melanoma
GSE125178	Probing the Global Cellular Responses to Lipotoxicity Caused by Saturated Fatty Acids	knockdown
GSE125917	Global gene expression profiles of cardiomyocytes differentiated from human pluripotent stem cells (hiPSC-CMs) in 3D culture exposed to ethanol	NA
GSE126548	Potential signaling pathways and gene signatures associated with brain metastases in NSCLC patients	pathway
GSE126840	RNA-sequencing of Wnt-dependent and Wnt-independent of Glioblastoma stem cell cultures	NA
GSE127736	Disruption of the exocyst induces podocyte loss and dysfunction	knock down
GSE93716	Transfection experiment with vector containing TP73-AS1 sponge region and miR-941	NA
GSE93717	miR941 overexpression experiment	NA
GSE95173	Human Long Intergenic Noncoding RNA Linc-ADAL Knockdown in Mature Adipocytes using Lentiviral ShRNA	knockdown
GSE102114	Differential expression of long non‑coding RNA and mRNA in children with Henoch‑Schönlein purpura nephritis	NA
GSE104232	NFIA is a gliogenic switch enabling rapid derivation of functional human astrocytes from pluripotent stem cells	NA
GSE105145	Bone marrow-derived and dental pulp-derived human mesenchymal stem cell RNA-Seq	Cancer/pathway
GSE107594	HMGA2 Promotes Long-Term Engraftment and Myelo-Erythroid Differentiation of Human Hematopoietic Stem and Progenitor Cells	knockdown
GSE111485	Multi-omic measurements of heterogeneity in HeLa cells across laboratories	variant
GSE115361	Expression data from miR340 overexpressing human A549 cells	NA
GSE119001	Expression alterations induced by restoration of AXIN1 expression in SNU449 hepatocellular carcinoma cells	Cancer/pathway
GSE119423	The SUMO Pathway as a Therapeutic Option in Pancreatic Cancer	Cancer/Pancreatic cancer/pathway
GSE120890	Differential expression of genes in AD169-infected MRC5.	NA
GSE121535	RNA-seq analyisis of PUM2 knockout cells	knockout
GSE121950	RNA Sequencing Analysis of villus tissues from unexplained recurrent spontaneous abortion patients and controls with induced abortions	NA
GSE122425	Effects of NSUN2 deficiency on the mRNA 5-methylcytosine modification and gene expression profile in HEK293 cells (RNA-Seq)	NA
GSE124538	Induction and Therapeutic Targeting of Human NPM1c+ Myeloid Leukemia in the Presence of Autologous Immune System in Mice	NA
GSE125024	Differetially expressed genes after hTR overexpression in U2OS cells	NA
GSE125733	Transcriptomic analysis of frontal fibrosing alopecia	NA
GSE133000	RNA sequence of mRNA in HUVEC cells after depleting EGFL6	pathway
GSE118933	Immune Checkpoint Regulation of Pulmonary Fibrosis [bulk RNA-seq]	Idiopathic pulmonary fibrosis
GSE128313	Highly-motile versus unsorted MDA-MB-231 breast cancer cells	Breast cancer/Cancer
GSE128526	Aberrant expression of select piRNA-pathway genes does not reactivate piRNA silencing in cancer cells	Cancer/pathway
GSE121092	Gene expression analysis in U251 and U87 cells transduced with NANEP5 vector.	NA
GSE126475	Exploring ILF2 regulatory genes by next-generation sequencing	NA
GSE129142	Identification of elevated A-to-I editing sites due to expression of an active ADAR3 mutant in human glioblastoma cells	NA
GSE129241	Directly Reprogrammed Human Neurons Identify a Pathogenic Mechanism of Valproic Acid at Early Developmental Stages	pathway
GSE129619	Disease modelling of core pre-mRNA splicing factor haploinsufficiency	knockdown
GSE130271	Profiling of protrusion-enriched RNAs from human breast cancer cell line MDA-MB-231	Breast cancer/Cancer
GSE107580	Activation of neuronal genes via LINE-1 elements upon global DNA demethylation in human neural progenitors	NA
GSE112448	 Polarized B -cell functions 	NA
GSE115659	Next generation sequencing on knockdown of AC093323.3 in lung cancer cells	Cancer/Lung cancer/knockdown
GSE115914	Effect of hyper-and hypoactivation of Notch signaling in IL-4-stimulate THP-1	NA
GSE123472	EGR1-controlled transcriptome of T HESCs	siRNA/knockdown
GSE125128	SREBP1 drives Keratin 80-dependent cytoskeletal changes and invasive behavior in endocrine resistant ERα breast cancer	Breast cancer/Cancer
GSE127081	Blocking expression of inhibitory receptor NKG2A overcomes tumor resistance to NK cells	NA
GSE129307	Studying the selectivity of a targeted small molecule degrading a hypoxia-associated non-coding RNA	Breast cancer/Cancer
GSE132091	Toxoplasma gondii infection of human retinal pigment epithelial cells	pathway
GSE99724	Gene expression activation in CLL mediated by MSCs contact	NA
GSE100322	Whole transcriptome sequencing of the human thyroid primary cells with knock-down of the NRG1 gene	knock-down
GSE124622	Next Generation Sequencing of control (Untreated), PAN injured and Adriamycin injured human podocytes	pathway
GSE128967	The Wnt/β-catenin and RAS-ERK Pathways were Activated  in Tissues of Chemotherapy-Resistant Gastric Cancer PDX Tumor	Cancer/pathway
GSE131066	Transcriptomic profiling of O-GlcNAcylated mRNA-protein complexes by using OG-CLAP in HeLa cells.	NA
GSE132082	RNA-seq of tumor cells following angiopellosis extravasation	NA
GSE113942	Genome-wide profiling of cervical RNA-binding proteins identified HPV regulation of RNASEH2A expression by viral E7 and E2F1	Cancer/pathway
GSE127457	IL-1β induces the rapid secretion of the antimicrobial protein IL-26 from Th17 cells	NA
GSE108706	Transcriptome analysis in Neobractatin treated cells	Cancer
GSE117415	RNA-seq in SUNE-1 cells after downregulation of DANCR expression	siRNA
GSE121380	Mucosal Profiling of Pediatric-Onset Colitis and IBD Reveals Common Pathogenics and Therapeutic Pathways	pathway
GSE121382	Transcriptome Analysis of CircMRPS35 mediated mRNA expression profiles	Cancer/siRNA
GSE121596	Circular RNA expression signature of low-glucose-treated MIA PaCa-2 cells	Cancer
GSE125648	RNA-sequencing analysis for gene expression profiles affected by CASC9 knockdown	knockdown
GSE131897	Transcriptional profiling of PBMC from patients with aGvHD and patients without aGvHD after alloHSCT	pathway
GSE136569	circNFIB suppresses lymphatic metastasis of pancreatic cancer	Cancer/Pancreatic cancer
GSE136668	Transcriptomic analysis of differential expressed genes of human tonsillar epithelial cells UT-SCC-60B in response to EV71 infection	NA
GSE140430	Stem and effector CD8 T-cells from human cancers	Cancer
GSE129950	A novel lncRNA lncRNA-AK096729 promotes colorectal carcinogenesis and glucose metabolism by stabilizing and specifying the transcription modification pattern of c-Myc	Cancer/Colorectal cancer/siRNA
GSE132154	Dual modulation of neuron specific microRNAs and the REST complex promotes functional maturation of induced human adult neurons	knockdown
GSE136262	A combined epigenome- and transcriptome-wide association study of the oral masticatory mucosa assigns CYP1B1 a central role for epithelial health in smokers	NA
GSE139822	RNA-seq data of small cell carcinoma of the bladder (SCCB) /urothelial carcinoma (Non-SCCB) clinical samples, and bladder-PARCB cell lines	NA
GSE140227	RNA sequencing of lesional and nonlesional skin from patients with atopic dermatitis	NA
GSE140380	Transcriptional differences between skin from patients with atopic dermatitis and control skin obtained from the healthy margins of Mohs surgery patients	NA
GSE88731	Cellular response to hepatitis E virus (HEV) infection	NA
GSE110580	High-throughput RNA sequencing on circular RNA profiles of human pancreatic cancer cell lines and gemcitabine resistant pancreatic cancer cell lines.	Cancer/Pancreatic cancer
GSE113005	Transcriptomics-based drug repurposing approach identifies novel drugs against sorafenib-resistant hepatocellular carcinoma	NA
GSE114311	Regulation of pre-mRNA splicing by m6A through the low-complexity protein hnRNPG and co-transcriptional pausing	NA
GSE120174	RNA sequencing of human mammary epithelial cells	NA
GSE127478	Mitochondrial 3243A > G mutation confers pro-atherogenic and pro-inflammatory properties in MELAS iPS derived endothelial cells	NA
GSE128101	Subcellular pathways shared by afflicted patients and mutant mice identify a new drug treatment for aortic aneurysm in Marfan syndrome	pathway
GSE131011	Mesenchymal stem/stromal cell engulfment reveals metastatic advantage in breast cancer	Breast cancer/Cancer
GSE133523	Modeling Human Cancer-induced Cachexia (Human)	Cancer
GSE134401	Effect on small molecule RBPJ inhibitor (RIN1) on gene expression in Jurkat cells compared to gamma secretase inhibition and siRNA knockdown of RBPJ	siRNA/knockdown
GSE90469	Ribosome profiling of G2019S LRRK2 human dopamine neurons	NA
GSE137755	FBP2 inhibits sarcoma progression by restraining mitochondrial biogenesis	NA
GSE139249	Discovery of Specialized NK Cell Populations Infiltrating Human Melanoma Metastases	Melanoma
GSE140150	A rare subpopulation of melanoma cells with low expression of metastasis suppressor NME1 has a neural crest-like phenotype and is highly metastatic in vivo	Melanoma
GSE104675	Role for the Transcriptional Activator ZRF1 in Breast Cancer Progression and Endocrine Resistance	Breast cancer/Cancer
GSE109957	Silencing p300 in MCF7 cells to study expression and alternative splicing	NA
GSE110557	RNA-seq analysis reveals profound changes in transcript profiles between siCon- and siH19-transfected uterine smooth muscle cells (USMC)	knockdown
GSE116127	Transcriptomic analysis of the effect of trastuzumab in human iPSC-CMs	pathway
GSE117994	AML subtype is a major determinant of the association between prognostic gene expression signatures and their clinical significance.	Acute Myeloid Leukemia
GSE120190	Transcriptome analyses of iPSC-derived neural stem/progenitor cells and cerebral organoids from monozygotic twins discordant for schizoaffective bipolar disorder	NA
GSE126151	A systematic analysis of nuclear heat-shock protein 90 identifies a metazoan-specific regulatory module	Cancer
GSE127831	Variable gene expression and parasite load predict treatment outcome in cutaneous leishmaniasis	pathway
GSE129540	RNAseq analysis of ESRP regulated splicing events in prostate cancer	Cancer/Prostate cancer
GSE130086	Expression data from human perivascular stem cell-derived extracellular vesicles (PSC-EVs) and PSCs	NA
GSE130905	An improved method for circular RNA purification that efficiently removes linear RNAs containing G-quadruplexes or structured 3’ ends	NA
GSE130985	Comparison between THP-1 cells obtained from either ATCC or DSMZ biorepository	NA
GSE132340	Hierarchy of mono- and bi-allelic TP53 alterations in Multiple Myeloma cell fitness	pathway
GSE132410	Indoxyl sulfate stimulates angiogenesis by regulating reactive oxygen species production via CYP1B1	NA
GSE132868	RelA mutants 'reconstituted' and cell cycle synchronized HCT116 Colorectal Cancer Cells	Cancer/Colorectal cancer
GSE133903	Transcriptome analyses of human pancreatic islets and pseudoislets	NA
GSE134517	A global overview of translation efficiency and ribosome occupancy at nucleotide resolution in HEK293 cells	NA
GSE135047	Quantitative comparison between cellular mRNAs and exosomal mRNAs in human iPSC-derived motor neurons	NA
GSE135229	ETS family proteins bind glucocorticoid receptor: relevance for treatment of Ewing sarcoma	NA
GSE137238	Profiling gene expression changes in primary ovarian tumors compared to matched normal fallopian tubes	Cancer
GSE138611	Extracellular matrix hydrogel derived from decellularized tissues enables endoderm organoids culture	NA
GSE139018	RNAseq Analysis in glioblastoma cells treated with Mepazine	NA
GSE140483	Organelle-based therapy for immune mediated disease: mitochondrial transfer elicits Tregs reprogramming	NA
GSE104944	Region-specific Innate Antiviral Responses of the Human Epididymis	pathway
GSE107589	RNA-seq in transgenic cells	NA
GSE113524	Discovery of autism/intellectual disability somatic mutations in Alzheimer's brains: mutated ADNP cytoskeletal impairments and repair as a case study	Intellectual disability/Alzheimer
GSE113799	RNA-seq of PC3 prostate cancer cell line xenografts in mice administered the ghrelin receptor antagonist [D-Lys3]-GHRP-6 or PBS for two weeks	Cancer/Prostate cancer
GSE115153	Biological effect of chronic mistranslation in mammalian cells	NA
GSE115414	Discovery of lncRNA biomarkers of prostate cancer	Cancer/Prostate cancer
GSE116142	Fibroblasts in cholesteatoma activate osteoclasts.	Rheumatoid arthritis/pathway
GSE117523	Targets of CDK12 on ZR-75-30 breast cancer cells (RNA-seq)	Breast cancer/Cancer
GSE118645	BCL6 confers KRAS-mutant NSCLCs resistance to BET inhibitors	NA
GSE119916	RNA-seq of healthy CD34+ HSPCs after co-culture with myelodyplastic syndrome patient-derived mesenchymal stromal cells	NA
GSE120521	RNA-seq of stable and unstable section of human atherosclerotic plaques	NA
GSE121626	Overexpression of UGT2B17 in MEC1 and JVM2 leukemia cell lines	pathway
GSE125772	ELF4 is a target of miR-124 and promotes neuroblastoma proliferation and undifferentiated state	NA
GSE128669	RNA-seq (PolyA) of RNA from Tet-inducible SaOS2-p21 cells	NA
GSE129194	m6A in mRNA coding regions promotes translation via the RNA helicase-containing YTHDC2	NA
GSE131504	Characterization of Human Pegivirus Infection in Liver Transplantation Recipients	NA
GSE132174	SLIGRL-induced gene expression changes in NHEK cells	NA
GSE133677	LncRNA NONHSAT113026 represses renal cell carcinoma tumorigenesis through interacting with NF-κB/p50 and SLUG	Renal cell carcinoma
GSE133976	GREB1, a novel target of Wnt signaling, promotes development of hepatoblastoma by suppressing TGFβ signaling	Breast cancer/Cancer
GSE134122	Transcriptional responses of human insulinoma cells to acute cytokine exposure	pathway
GSE135420	Gene expression profiling of leukemia cells following asparagine depletion	NA
GSE135548	Human induced pluripotent stem cell-derived vocal fold mucosa mimics development and responses to smoke exposure	NA
GSE136299	Evolved Labels of Placental Invasion in Human and Bovine Endometrial Stroma	Cancer
GSE136366	Gene expression analysis of the impact of TDP-43 knockout in human cells.	knockout
GSE137802	IQGAP3 interacts with Rad17 to activate the MRN/ATM/Chk2 signaling and promote radioresistance in lung cancer	Cancer/Lung cancer
GSE137843	Gene expression changes in HSV-1 infected HeLa cells with knockdown of B2M	knockdown
GSE138531	Aortic Valve Tissue: Stenosis vs. Sclerosis	NA
GSE138937	Effect of CTCF and Rad21 knockdown on SLK cells and KSHV gene expression	knockdown
GSE139061	Transcriptomic Signatures of Kidney Injury in Human Renal Biopsy Specimens	NA
GSE139135	Molecular characterization of BRSK2 and BRSK1 kinases as negative regulators of the NRF2 transcription factor	NA
GSE140031	RNASeq of Arg2 gRNA or scrambled gRNA CRISPR'd Tregs	NA
GSE140275	Expression profile and potential functions of circulating long noncoding RNAs in acute ischemic stroke in the Southern Chinese Han population	pathway
GSE140627	Urinary sediment transcriptomic and longitudinal data to investigate renal function decline in type 1 diabetes	NA
GSE76491	Coordination of neuron production in mouse and human cerebral cortex by the homolog of Drosophila Mastermind protein	pathway
GSE103320	Control of prostate tumour growth by the long non-coding RNA GHSROS (LNCaP)	Cancer/Prostate cancer
GSE109281	Subclonal cooperation drives metastasis through modulating local and systemic immune microenvironments	NA
GSE118762	Transcriptome-wide analysis of adipose circular RNAs reveals their dynamic regulation in obesity and functional role in adipogenesis	Obesity
GSE120303	Identification of gene signature in ascitic fluid-isolated mesothelial cells from high grade serous ovarian cancer patients	Cancer
GSE128805	Cancer-Causing Mutations in SF3B1 Alter Splicing by Disrupting Interaction with SUGP1	Cancer
GSE129467	RNA-seq analysis of SKMEL28 melanoma cells following DIRC3 and IGFBP5 ASO knockdown	Melanoma/knockdown
GSE133521	RNA-seq analysis of A498 cell line treated with siSETD2 or si-NC	NA
GSE133731	RNA sequencing for PDX1, NGN3 and MAFA transduced iPSCs cell	NA
GSE137136	The impact of pro-inflammatory cytokines on the β-cell regulatory landscape provides insights into the genetics of type 1 diabetes	variant
GSE138219	SNHG12 knockdown in Human Umbilical Vein Cells under ROS conditions.	knockdown
GSE138248	mRNA sequencing of highly and lowly metastatic human colorectal cancer PDXs	Cancer/Colorectal cancer
GSE135831	Exogenous pyruvate represses histone gene expression to inhibit cancer cell proliferation via the NAMPT-NAD + -SIRT1 pathway	Cancer/pathway
GSE141140	Transcriptomic profile of T cell acute lymphoblastic leukemia (T-ALL) cell from patients in CHCQMU	NA
GSE141558	Effect of BRCA1 overexpression on genetic expressions of cervical cancer based on next generation sequencing	Cancer
GSE137931	CD48-dependent protective autophagy in conventional human T cells promotes restimulation-induced cell death resistance	NA
GSE92432	An optimization system for isolating and sequencing of single human colon cancer cells	Cancer
GSE128328	Gene expression profile in endometrial organoids cultured in normal follicular phase vs PCOS-like hormone profile	NA
GSE123856	A non-catalytic function of carbonic anhydrase IX contributes to the glycolytic phenotype and pH regulation in human breast cancer cells	Breast cancer/Cancer
GSE130342	High RNA polymerase II occupancy on herpes simplex virus 1 late genes early in infection suggests progression to elongation is a critical switch to trigger late viral gene expression	NA
GSE141797	Human Tfh cell RNA bulk sequencing	NA
GSE76129	ZNF599 and DNMT3A coordinately control nuclear envelope organization by repression of SUN4 expression	NA
GSE104608	Epigenetic Inactivation of Cysteine Dioxygenase Type 1 Contributes to ROS-dependent Progression of Colorectal Cancer	Cancer/Colorectal cancer
GSE111071	Comparative Transcriptome analysis of hESCs- and iPSCs-derived lentoid body	NA
GSE111620	RNA-seq analysis of PRMT5-regulated genes in irradiated/non-irradiated LNCaP cells	Cancer
GSE126147	CASZ1 directly regulates expression of myogenic genes through regional epigenetic modifications to induce muscle and rhabdomyosarcoma cell differentiation	NA
GSE131565	RNA-Seq analysis of primary human keratinocytes exposed to Cannabidiol	NA
GSE133887	Compensatory Csf2-driven macrophage activation blunts long-term efficacy of therapeutic Csf1r inhibition in breast-to-brain metastasis	NA
GSE136339	Whole transcriptome RNA sequencing of human cells after HCV infection (ML-1 thyroid cell line, primary thyrocytes and Huh7.5 hepatocyte cell line)	pathway
GSE141633	The landscape of alternative splicing in aggressive prostate cancers	Cancer/Prostate cancer
GSE118272	STRIPAK directs PP2A activity to promote oncogenic transformation	Cancer/pathway
GSE118442	Assessing placental maturity through histological and transcriptomic analyses in idiopathic spontaneous preterm birth	NA
GSE128054	MYT1 attenuates neuroblastoma cell differentiation by inhibiting retinoic acid signaling pathway	pathway
GSE129263	MTR4 drives tumorigenesis of hepatocellular carcinoma by controlling alternative splicing of metabolic genes through PTBP1 recruitment	Cancer
GSE141126	Transcriptome analysis-identified long noncoding RNA CRNDE in maintaining endothelial cell proliferation, migration, and tube formation	Obesity/knockdown/pathway
